image_id,healthy,multiple_diseases,rust,scab
Test_0,6.4386945e-13,8.860776e-05,0.9999114,1.1775432e-19
Test_1,6.5758094e-08,0.0007911815,0.99920875,7.004096e-11
Test_2,0.0027014264,0.0031585093,2.1831925e-06,0.9941379
Test_3,0.99924386,0.00018030369,8.8410554e-05,0.00048742857
Test_4,4.8012766e-12,7.220213e-05,0.99992776,1.846828e-20
Test_5,0.66004443,0.16436103,0.0012092486,0.17438526
Test_6,0.9991854,0.00013353932,7.573514e-05,0.00060539966
Test_7,4.3019187e-05,0.01832452,2.1491507e-08,0.9816325
Test_8,0.006494862,0.52773654,0.0018532751,0.4639153
Test_9,8.9940464e-08,0.001660516,0.9983394,4.4937557e-11
Test_10,6.1312808e-06,0.012917973,0.98707587,1.11437e-08
Test_11,0.9991248,0.0002401688,0.00014924626,0.00048584558
Test_12,0.24079926,0.04229501,0.00081419555,0.7160915
Test_13,0.9977042,0.0003424292,5.8872683e-05,0.0018945386
Test_14,2.7197772e-11,0.00018056488,0.99981946,1.4975774e-16
Test_15,1.6690295e-09,4.4137058e-05,0.9999559,2.906402e-14
Test_16,0.98815674,0.00404154,0.0009359168,0.0068658064
Test_17,0.003903529,0.027687853,1.3495671e-05,0.96839505
Test_18,0.62467736,0.015371931,0.00017345231,0.35977727
Test_19,2.500791e-11,0.0012750509,0.9987249,1.5113757e-13
Test_20,0.00034171483,0.01517871,5.9236015e-07,0.984479
Test_21,0.9961649,0.00032172728,6.537527e-05,0.0034479976
Test_22,0.0,8.1690404e-11,1.0,0.0
Test_23,0.00044793135,0.0019550363,1.4378173e-07,0.9975969
Test_24,0.9997296,1.4071599e-05,1.11650415e-05,0.00024519538
Test_25,0.0056853043,0.029942745,1.6011829e-05,0.964356
Test_26,0.027123148,0.024720125,5.542612e-05,0.94810134
Test_27,3.6608608e-10,0.0007238724,0.9992761,1.6063245e-14
Test_28,0.98048055,0.0024685091,0.00014116454,0.01690978
Test_29,0.0005109636,0.96381885,0.01089881,0.024771381
Test_30,0.17947976,0.11847444,0.005204078,0.69684166
Test_31,8.9541237e-07,0.02032408,0.979675,5.0966853e-10
Test_32,0.012497387,0.008946719,7.6184515e-06,0.9785483
Test_33,7.0199916e-05,0.0008414054,5.5966423e-09,0.9990884
Test_34,0.07319228,0.002129263,1.911765e-05,0.9246594
Test_35,0.0014190853,0.0014499564,3.085618e-07,0.9971306
Test_36,1.683483e-08,0.0014420656,0.99855787,3.2419482e-12
Test_37,0.006855753,0.004272451,1.3677958e-05,0.9888581
Test_38,5.6520207e-06,0.0058853384,8.687585e-10,0.99410903
Test_39,6.5186937e-06,0.0030030767,0.9969903,4.095473e-09
Test_40,1.0377935e-05,0.0055099586,0.99447966,2.4456972e-08
Test_41,9.8943e-07,0.0052259727,0.9947731,5.205178e-10
Test_42,1.8337123e-05,0.003390161,3.2513074e-09,0.99659157
Test_43,9.845368e-07,0.0019861194,0.9980129,2.2998542e-08
Test_44,0.0003330314,0.048583355,5.6466365e-07,0.95108306
Test_45,0.0010366383,0.08826945,7.2466974e-06,0.9106867
Test_46,0.010866148,0.00085413124,4.4726949e-07,0.9882792
Test_47,1.0304369e-18,6.0038536e-05,0.9999399,4.5376565e-29
Test_48,2.7464394e-13,6.7661463e-06,0.9999932,1.9136415e-20
Test_49,0.000124373,0.006608198,0.9932672,2.1600978e-07
Test_50,3.707002e-05,0.0769872,0.9229718,3.941072e-06
Test_51,5.093068e-09,0.00015900072,0.999841,1.0123367e-12
Test_52,9.428324e-13,8.366565e-05,0.9999163,6.7534913e-18
Test_53,4.625237e-12,5.9650763e-05,0.9999404,7.7616704e-19
Test_54,7.0353235e-05,0.92564154,2.4427287e-05,0.07426359
Test_55,0.003388337,0.030534226,9.94244e-06,0.96606755
Test_56,0.044062663,0.06532258,5.6753193e-05,0.89055794
Test_57,0.9324397,0.02441169,0.002024587,0.041123975
Test_58,0.0161547,0.00014841219,6.794403e-07,0.9836962
Test_59,0.00034884995,0.44933316,0.5501263,0.00019169548
Test_60,0.0024758205,0.060679685,4.3658525e-05,0.9368008
Test_61,0.991763,0.0025295946,0.00094164413,0.0047657606
Test_62,0.022779932,0.62067026,0.00216999,0.35437983
Test_63,0.0011095611,0.9054904,0.0046340986,0.08876593
Test_64,0.0068569183,0.00095634523,3.6880065e-06,0.992183
Test_65,7.062695e-07,0.0025384203,0.99746084,1.0772347e-09
Test_66,0.987987,0.0003872602,2.2718887e-05,0.0116030695
Test_67,0.013126188,0.1917169,0.7926197,0.0025371434
Test_68,8.853029e-05,0.95891833,0.00010731122,0.040885866
Test_69,5.4471708e-05,0.008828223,0.99111724,1.2407757e-07
Test_70,0.00472097,0.18286194,0.00012030973,0.8122968
Test_71,0.0001468032,0.0039429334,0.9959098,4.8233085e-07
Test_72,0.006120854,0.34163314,0.0001511435,0.65209496
Test_73,0.91927975,0.0028348933,2.9317007e-05,0.07785606
Test_74,0.98841864,0.0029225927,0.0010811707,0.0075776074
Test_75,0.00078148104,0.00093480747,8.002838e-08,0.9982836
Test_76,0.9897496,0.00045794543,1.4708928e-05,0.009777811
Test_77,0.0020811514,0.013776109,0.98412955,1.3275551e-05
Test_78,4.659288e-06,0.1723032,2.6940517e-08,0.82769215
Test_79,0.9296521,0.011225781,0.008484375,0.05063769
Test_80,6.7586706e-07,0.93088925,0.06910372,6.406513e-06
Test_81,1.4460458e-05,0.01540363,0.98458177,8.5453905e-08
Test_82,0.004124857,0.062043242,0.93360126,0.00023064775
Test_83,5.545329e-05,0.021662235,0.97828114,1.1838385e-06
Test_84,0.0011983295,0.0050902567,2.2951373e-07,0.99371123
Test_85,0.061038792,0.04994944,0.000122489,0.88888925
Test_86,3.2146385e-05,0.009031346,0.990936,4.8521855e-07
Test_87,0.11769236,0.21429938,0.00073257415,0.66727567
Test_88,4.2241743e-05,0.9851482,0.004657213,0.010152276
Test_89,0.36841944,0.04959344,0.0009840368,0.58100307
Test_90,1.996729e-14,1.3100592e-06,0.9999987,3.5473314e-23
Test_91,0.9987087,0.00041436893,0.00016437365,0.000712625
Test_92,0.99508435,0.00036869053,0.00011333654,0.004433665
Test_93,4.543433e-08,0.00072648056,0.9992735,7.1601306e-12
Test_94,0.00046244907,0.008090546,3.3435018e-07,0.9914466
Test_95,0.99711156,0.00038889426,0.00017613471,0.0023233125
Test_96,0.005220982,0.0013508057,2.7784165e-06,0.9934255
Test_97,0.98010856,0.0048296857,0.00078716426,0.014274488
Test_98,0.00046233684,0.0014454566,1.1617029e-07,0.9980921
Test_99,0.0038396039,0.011395459,4.2826573e-06,0.9847607
Test_100,8.170883e-05,0.007558165,2.9612947e-08,0.9923602
Test_101,0.7905164,0.015411692,0.0019248532,0.19214709
Test_102,0.0224311,0.0006727757,8.988214e-07,0.9768952
Test_103,0.8258154,0.06795888,0.003331637,0.102894075
Test_104,7.805246e-05,0.001062403,1.4956834e-08,0.9988595
Test_105,0.008725482,0.044735096,0.00013505759,0.9464044
Test_106,0.94417334,0.004634064,0.00019423605,0.05099834
Test_107,0.636126,0.02723847,0.3292701,0.007365477
Test_108,0.00021144393,0.1479056,1.508793e-06,0.85188144
Test_109,0.4736399,0.3790484,0.060132094,0.08717962
Test_110,0.99564457,0.0018238293,0.0002906858,0.0022409523
Test_111,0.67485094,0.007368517,0.0014994369,0.3162811
Test_112,1.0398829e-07,0.111314386,0.88868546,1.2971539e-09
Test_113,0.040667336,0.13271736,0.0026790674,0.8239363
Test_114,8.866736e-05,0.69316024,3.448572e-05,0.30671662
Test_115,0.0032106147,0.009334916,0.98744816,6.3830817e-06
Test_116,0.00049526285,0.0069976836,0.99250305,4.046437e-06
Test_117,3.4498505e-08,0.016120758,0.9838792,5.678771e-11
Test_118,8.5739205e-10,0.0005672972,0.9994326,8.777294e-14
Test_119,0.9749016,0.0037962105,0.021202477,9.970664e-05
Test_120,1.1627312e-09,0.0008422466,0.9991578,2.2392105e-13
Test_121,0.0021719134,0.36929342,0.6279536,0.00058101775
Test_122,7.1489744e-08,0.013267755,0.9867322,1.8174394e-10
Test_123,5.285547e-11,0.042391207,0.9576088,6.4701717e-15
Test_124,0.002260224,0.02402226,2.5901595e-06,0.97371495
Test_125,0.008037351,0.04972795,2.2747272e-05,0.9422119
Test_126,0.98446345,0.003827712,0.0019346034,0.009774228
Test_127,0.51227134,0.0071125124,0.00041790155,0.4801982
Test_128,0.0048456374,0.51890165,0.46849325,0.0077593783
Test_129,0.00020373095,0.0444942,0.95529044,1.1568514e-05
Test_130,8.859993e-05,0.048478354,1.4625564e-07,0.95143294
Test_131,0.00011763895,0.0012144673,1.4208394e-08,0.99866796
Test_132,0.97176343,0.0075684036,0.006939874,0.013728266
Test_133,2.8166727e-07,0.002117213,2.3817044e-11,0.9978824
Test_134,0.02525865,0.06566456,0.00027356984,0.9088032
Test_135,1.06637735e-05,0.0066691954,0.99331975,3.8567612e-07
Test_136,6.867384e-05,0.0006707141,3.027214e-09,0.9992606
Test_137,2.6605669e-21,4.57519e-05,0.9999542,8.562884e-32
Test_138,1.9095059e-11,0.00014928578,0.99985075,1.228238e-16
Test_139,0.9996118,4.4214914e-05,2.3174769e-05,0.000320884
Test_140,0.035755526,0.57788336,0.05195475,0.33440632
Test_141,0.00029433178,0.0003499651,3.0612345e-08,0.99935573
Test_142,0.048609365,0.0035638902,2.7406222e-05,0.9477993
Test_143,0.0038644876,0.0075314697,2.5503161e-06,0.9886015
Test_144,0.9981097,0.0004914107,0.00028664645,0.001112223
Test_145,0.003323233,0.005076842,1.6147823e-06,0.99159825
Test_146,1.12030545e-08,0.0013379359,0.998662,5.5526833e-11
Test_147,2.2282667e-05,0.016354619,0.9836227,3.4261168e-07
Test_148,0.9786603,0.00053873635,0.00018820503,0.02061278
Test_149,0.0010884894,0.016411996,0.98249143,8.133554e-06
Test_150,0.0012999766,0.012125912,1.8768275e-06,0.98657227
Test_151,5.718775e-16,0.04103864,0.9589613,1.1437051e-23
Test_152,9.329217e-12,0.0171836,0.9828164,2.6852501e-17
Test_153,0.00034686853,0.0024740011,2.3636707e-08,0.99717915
Test_154,3.929288e-11,0.0051817005,0.9948183,1.9873486e-17
Test_155,2.223477e-08,0.0026626277,0.9973373,2.0333228e-11
Test_156,0.04834052,0.020177122,0.0006389577,0.9308434
Test_157,0.87612844,0.031402454,0.008060511,0.08440861
Test_158,8.86438e-05,0.0017078923,2.6516643e-08,0.9982034
Test_159,0.00015816845,0.050020583,0.9498198,1.5180824e-06
Test_160,0.410211,0.0016965057,0.00033937604,0.5877531
Test_161,0.20195541,0.10862849,0.009245504,0.6801706
Test_162,2.5217987e-06,0.0019361754,0.99806124,7.9100493e-10
Test_163,1.5998638e-06,0.0046941605,0.9953042,1.165394e-08
Test_164,0.0056428136,0.007846784,5.9949057e-06,0.9865044
Test_165,8.852515e-06,0.001339192,4.7150633e-10,0.99865204
Test_166,1.0810537e-08,0.00014461354,0.9998554,4.047143e-14
Test_167,2.4970317e-11,0.005433835,0.9945662,3.7743695e-17
